,seed,model,lambda,d_model,er_loss,no_epochs,max_len,recall,precision,f1,accuracy,dataset,time
1025,56,NAP_model,0.0,32,False,10,20,0.8329976194836111,0.9320791666569856,0.8677777965226644,0.8329976194836111,BPI20PrepaidTravelCosts,27.187091854121537
1026,56,NAP_model,0.0,32,False,10,30,0.7564548617469328,0.8567016987852871,0.7947683859338851,0.7564548617469328,BPI20PrepaidTravelCosts,29.124688191944735
1027,8,SDFA_NAP_model,0.1,8,True,10,5,0.7564548617469328,0.9076795265969488,0.8059288155639345,0.7564548617469328,BPI20PrepaidTravelCosts,14.023052895860747
1028,8,SDFA_NAP_model,0.2,8,True,10,5,0.7419886467679913,0.8919880488300955,0.7893357375349654,0.7419886467679913,BPI20PrepaidTravelCosts,18.01393030420877
1029,8,SDFA_NAP_model,0.5,8,True,10,5,0.3329060611609595,0.9247508227597466,0.4246796434385457,0.3329060611609595,BPI20PrepaidTravelCosts,13.856243079062551
1030,8,SDFA_NAP_model,0.1,8,True,10,10,0.6376121589452481,0.8440799857976822,0.7101960116214623,0.6376121589452481,BPI20PrepaidTravelCosts,22.847324033174665
1031,8,SDFA_NAP_model,0.2,8,True,10,10,0.4045046694744552,0.94636385025227,0.5144869547972666,0.4045046694744552,BPI20PrepaidTravelCosts,22.158814283506945
1032,8,SDFA_NAP_model,0.5,8,True,10,10,0.3451748763962644,0.7947054189951788,0.4773288480386862,0.3451748763962644,BPI20PrepaidTravelCosts,22.490755245881154
1033,8,SDFA_NAP_model,0.1,8,True,10,20,0.3885735213330892,0.9393803803176748,0.4979542947058435,0.3885735213330892,BPI20PrepaidTravelCosts,24.271187933068724
1034,8,SDFA_NAP_model,0.2,8,True,10,20,0.378685222486724,0.780274338199065,0.4824639982710044,0.378685222486724,BPI20PrepaidTravelCosts,24.575530416658147
1035,8,SDFA_NAP_model,0.5,8,True,10,20,0.1333089177806262,0.7491881098594733,0.2250495759651158,0.1333089177806262,BPI20PrepaidTravelCosts,26.411740783415738
1036,8,SDFA_NAP_model,0.1,8,True,10,30,0.6304706097784288,0.8729387908577805,0.7019721039651777,0.6304706097784288,BPI20PrepaidTravelCosts,22.62120250836015
1037,8,SDFA_NAP_model,0.2,8,True,10,30,0.4532136971250686,0.964758344778126,0.5706377421551786,0.4532136971250686,BPI20PrepaidTravelCosts,26.974238900095223
1038,8,SDFA_NAP_model,0.5,8,True,10,30,0.1054751876945614,0.9761707999407104,0.1794964079100647,0.1054751876945614,BPI20PrepaidTravelCosts,23.582696399930864
1039,8,SDFA_NAP_model,0.1,16,True,10,5,0.8033327229445156,0.9494853264029312,0.8577384633149531,0.8033327229445156,BPI20PrepaidTravelCosts,15.0320812582504
1040,8,SDFA_NAP_model,0.2,16,True,10,5,0.8198132210217909,0.9382781042144388,0.8594837289547742,0.8198132210217909,BPI20PrepaidTravelCosts,15.113005833374336
1041,8,SDFA_NAP_model,0.5,16,True,10,5,0.8004028566196667,0.9476371428079048,0.8570725891943072,0.8004028566196667,BPI20PrepaidTravelCosts,14.3861301290337
1042,8,SDFA_NAP_model,0.1,16,True,10,10,0.7996703900384545,0.9482795091757014,0.8573663739311678,0.7996703900384545,BPI20PrepaidTravelCosts,24.15794851235114
1043,8,SDFA_NAP_model,0.2,16,True,10,10,0.8150521882439113,0.951684857501711,0.8656797911632511,0.8150521882439113,BPI20PrepaidTravelCosts,23.79694691277109
1044,8,SDFA_NAP_model,0.5,16,True,10,10,0.8060794726240615,0.9418904315348012,0.8580368432296147,0.8060794726240615,BPI20PrepaidTravelCosts,24.152109999908134
1045,8,SDFA_NAP_model,0.1,16,True,10,20,0.7172678996520784,0.922497737217917,0.7896658033634506,0.7172678996520784,BPI20PrepaidTravelCosts,25.949628512514757
1046,8,SDFA_NAP_model,0.2,16,True,10,20,0.7908807910639077,0.9267496172884432,0.8371092058426681,0.7908807910639077,BPI20PrepaidTravelCosts,27.040786920813844
1047,8,SDFA_NAP_model,0.5,16,True,10,20,0.6956601355063176,0.9340590249139762,0.7799207116623244,0.6956601355063176,BPI20PrepaidTravelCosts,25.31306078340858
1048,8,SDFA_NAP_model,0.1,16,True,10,30,0.7145211499725325,0.9532934404254394,0.8016907967711675,0.7145211499725325,BPI20PrepaidTravelCosts,29.425881512463093
1049,8,SDFA_NAP_model,0.2,16,True,10,30,0.7020692180919246,0.930736605868396,0.766184973336302,0.7020692180919246,BPI20PrepaidTravelCosts,25.361454437486827
1050,8,SDFA_NAP_model,0.5,16,True,10,30,0.5116279069767442,0.752843445597581,0.5711556742973096,0.5116279069767442,BPI20PrepaidTravelCosts,29.200248716771604
1051,8,SDFA_NAP_model,0.1,32,True,10,5,0.8566196667277055,0.9348125273868024,0.8845373173623285,0.8566196667277055,BPI20PrepaidTravelCosts,18.8614664751105
1052,8,SDFA_NAP_model,0.2,32,True,10,5,0.85808459989013,0.9361801667170472,0.8876823857862135,0.85808459989013,BPI20PrepaidTravelCosts,16.212779508391396
1053,8,SDFA_NAP_model,0.5,32,True,10,5,0.8491118842702802,0.9457927264503035,0.8863241823263505,0.8491118842702802,BPI20PrepaidTravelCosts,20.218115516752004
1054,8,SDFA_NAP_model,0.1,32,True,10,10,0.8654092657022523,0.943470220522064,0.894936916296007,0.8654092657022523,BPI20PrepaidTravelCosts,24.036156995780765
1055,8,SDFA_NAP_model,0.2,32,True,10,10,0.8405054019410364,0.9364851413890056,0.8755409620495869,0.8405054019410364,BPI20PrepaidTravelCosts,26.21030015414581
1056,8,SDFA_NAP_model,0.5,32,True,10,10,0.8346456692913385,0.9314937411985712,0.870987425876441,0.8346456692913385,BPI20PrepaidTravelCosts,26.84146245024167
1057,8,SDFA_NAP_model,0.1,32,True,10,20,0.8608313495696759,0.9479960514648164,0.891696984200033,0.8608313495696759,BPI20PrepaidTravelCosts,30.508811820764095
1058,8,SDFA_NAP_model,0.2,32,True,10,20,0.8474638344625527,0.9388677552484708,0.8837774236836311,0.8474638344625527,BPI20PrepaidTravelCosts,26.956319116661327
1059,8,SDFA_NAP_model,0.5,32,True,10,20,0.7416224134773851,0.9269909427311696,0.7960542951315637,0.7416224134773851,BPI20PrepaidTravelCosts,27.18712091278285
1060,8,SDFA_NAP_model,0.1,32,True,10,30,0.7797106757004212,0.9397084660783755,0.8409442579942906,0.7797106757004212,BPI20PrepaidTravelCosts,27.642987899901343
1061,8,SDFA_NAP_model,0.2,32,True,10,30,0.8090093389489105,0.9130918834075792,0.8439995120432174,0.8090093389489105,BPI20PrepaidTravelCosts,36.992956137331205
